Date,Open,High,Low,Close,Volume
2011-09-04,32.424,34.554,29.66,30.444,143642471
2011-09-11,29.869,31.711,29.027,29.139,117375580
2011-09-18,28.759,30.179,22.02,22.17,345892337
2011-09-25,22.384,23.284,17.86,18.48,701972726
2011-10-02,19.46,19.697,15.376,16.181,427620354
2011-10-09,16.46,17.75,15.714,16.744,233786028
2011-10-16,18.223,18.357,14.733,16.577,483453635
2011-10-23,16.547,17.036,15.084,16.72,211356075
2011-10-30,17.014,17.183,10.607,12.02,706242999
2011-11-06,11.949,13.27,11.249,12.86,293351835
2011-11-13,13,13.406,11.957,12.536,183415043
2011-11-20,12.57,12.586,10.827,11.151,163253447
2011-11-27,10.994,11.426,8.9857,9.1229,233652832
2011-12-04,9.603,10.109,8.91,9.4814,305370786
2011-12-11,9.564,10.421,9.3286,10.127,262037419
2011-12-18,9.963,11.084,9.846,9.974,258568541
2011-12-25,9.97,10.654,9.561,10.374,128918384
2012-01-01,10.329,10.356,9.659,9.899,92689933
2012-01-08,10.057,12.471,10.019,12.327,338642311
2012-01-15,12.801,14.263,12.449,13.483,597392754
2012-01-22,13.721,14.967,13.179,14.32,257620293
2012-01-29,14.113,17.713,13.069,17.684,440995499
2012-02-05,17.82,18.497,16.821,18.061,330407007
2012-02-12,17.603,19.061,17.407,17.704,286391980
2012-02-19,17.83,17.903,16.876,17.407,205975217
2012-02-26,17.684,18.021,15.506,15.953,238899731
2012-03-04,15.45,16.834,15.234,16.443,202385141
2012-03-11,16.394,16.646,14.647,15.59,208256573
2012-03-18,15.393,15.959,14.7,15.709,175960274
2012-03-25,15.661,17.64,15.544,17.167,196396431
2012-04-01,17.367,17.639,16.143,16.434,141630027
2012-04-08,16.4,16.4,15.617,15.786,116422180
2012-04-15,15.537,15.669,14.074,14.881,170039884
2012-04-22,14.944,15.673,14.343,15.159,124743990
2012-04-29,14.984,15,11.651,11.963,376552526
2012-05-06,11.803,11.854,10.301,10.449,229745306
2012-05-13,10.357,11.199,10.083,11.054,170829568
2012-05-20,11.019,11.329,9.3371,9.994,156184161
2012-05-27,9.979,10.501,9.596,10.031,161232932
2012-06-03,10.151,10.164,8.6714,8.9929,154313117
2012-06-10,9.0357,9.767,8.91,9.3771,131486810
2012-06-17,9.4843,9.513,8.7171,9.3986,120864730
2012-06-24,9.2943,10.069,9.2557,9.694,113106700
2012-07-01,9.687,9.933,9.3714,9.784,95959283
2012-07-08,9.824,12.2,9.607,11.699,227989146
2012-07-15,11.854,12.379,11.361,12.129,202044367
2012-07-22,12.159,12.221,11.524,11.689,123848641
2012-07-29,11.533,11.781,8.02,8.4171,386524586
2012-08-05,8.4186,8.5657,7.5443,7.7014,142333730
2012-08-12,7.7914,8.6514,7.73,8.5571,129024616
2012-08-19,8.7457,9.36,8.3571,9.0986,152338347
2012-08-26,9.0786,9.521,8.8357,9.0229,126782782
2012-09-02,9.0457,9.1386,8.4414,8.5314,97817447
2012-09-09,8.2857,8.2857,7.59,8.0943,192903333
2012-09-16,8.0486,8.7743,7.8714,8.6457,137598748
2012-09-23,8.4257,8.5314,7.9571,8.2557,169254253
2012-09-30,8.1229,8.2629,7.5786,7.7771,139434288
2012-10-07,7.8043,9.743,7.7629,9.509,279143865
2012-10-14,10.199,10.604,9.1086,9.19,255937696
2012-10-21,9.3071,9.977,9.0571,9.2829,126234507
2012-10-28,9.1943,10.034,8.2,9.94,345475214
2012-11-04,9.4871,12.136,9.3643,10.986,199647028
2012-11-11,10.653,11.476,10.643,11.129,155939938
2012-11-18,11.286,11.871,11.049,11.557,121997666
2012-11-25,11.716,12.08,11.45,11.85,57905218
2012-12-02,11.786,11.939,11.333,11.673,67852288
2012-12-09,11.693,12.826,10.643,12.283,263266038
2012-12-16,12.306,13.527,12.057,13.329,141851633
2012-12-23,13.286,13.971,13.016,13.049,126733208
2012-12-30,13.08,13.271,12.649,12.761,48418111
2013-01-06,12.77,13.989,12.716,13.711,83190135
2013-01-13,13.77,14.56,13.507,14.47,146476330
2013-01-20,14.399,14.929,13.679,14.167,120814001
2013-01-27,14.236,24.669,13.799,24.223,406467901
